"DAY","Set","            Team A                        ","Points","A SRV TTL","A SRV #","A SRV /","A SRV =","A PASS TTL","A PASS #","A PASS +","A PASS /","A PASS =","A ATT1 TTL","A ATT1 #","A ATT1 /","A ATT1=","A ATT2 TTL","A ATT2 #","A ATT2 /","A ATT2=","A BLOCK TTL","A BLOCK #","A BLOCK /","A BLOCK=","A SETTING","A SETTING =","Team B","Points","A SRV TTL","A SRV #","A SRV /","A SRV =","A PASS TTL","A PASS #","A PASS +","A PASS /","A PASS =","A ATT1 TTL","A ATT1 #","A ATT1 /","A ATT1=","A ATT2 TTL","A ATT2 #","A ATT2 /","A ATT2=","A BLOCK TTL","A BLOCK #","A BLOCK /","A BLOCK=","A SETTING","A SETTING ="
"2","2","Olympiacos","25","25","2","2","5","18","9","0","2","1","14","11","0","0","7","4","0","1","11","1","1","4","13","0","Pamvochaikos","23","23","1","2","5","20","6","8","2","2","16","10","1","1","8","5","0","0","7","0","0","6","17","1"
"2","3","Olympiacos","25","24","1","0","4","23","6","8","0","1","22","9","0","4","13","5","2","1","10","3","0","6","20","0","Pamvochaikos","23","24","1","0","1","20","9","5","0","1","18","7","3","2","6","4","0","1","19","2","0","6","23","3"
"2","1","Panathinaikos","25","24","2","0","5","14","3","5","1","2","11","8","0","1","9","5","0","0","7","2","0","2","13","0","Panachaiki","17","18","2","1","4","19","2","3","0","2","17","6","1","4","8","3","1","0","7","0","0","6","15","0"
"2","2","Panathinaikos","25","25","3","1","5","12","2","3","2","1","9","5","1","0","9","5","1","0","13","6","0","4","9","0","Panachaiki","16","16","1","2","4","20","7","2","1","3","14","3","5","1","8","5","1","1","8","2","0","4","16","0"
"2","3","Panathinaikos","25","24","2","0","5","13","3","3","0","0","13","7","0","2","5","4","1","0","7","3","0","2","12","0","Panachaiki","18","19","0","0","6","19","2","7","0","2","17","8","3","3","2","2","0","0","6","1","0","3","16","0"
"2","1","Iraklis Chalkidas","25","24","0","1","2","15","4","7","0","1","14","10","0","2","16","4","1","0","15","0","0","8","30","1","Ethnikos Alexandroupolis","19","20","1","0","5","22","5","7","1","0","16","8","0","2","11","4","0","0","14","1","0","7","35","4"
"2","2","Iraklis Chalkidas","17","18","0","2","4","21","4","2","0","3","16","9","0","0","10","1","1","2","11","1","0","6","29","3","Ethnikos Alexandroupolis","25","24","3","0","3","14","4","3","2","0","12","7","0","2","12","5","1","1","13","1","0","5","25","0"
"2","3","Iraklis Chalkidas","15","15","0","0","1","23","6","7","2","0","20","10","3","2","4","1","1","0","10","2","0","5","25","1","Ethnikos Alexandroupolis","25","25","0","2","2","14","2","5","0","0","14","11","1","0","9","5","1","0","13","4","0","6","21","0"
"2","4","Iraklis Chalkidas","23","24","1","1","0","21","9","6","0","2","18","14","1","1","9","3","2","0","12","1","0","7","30","1","Ethnikos Alexandroupolis","25","24","2","0","3","24","4","6","2","1","21","11","1","1","11","7","0","0","16","3","0","9","31","0"
"3","1","Ethnikos Alexandroupolis","19","19","0","1","6","22","5","5","2","3","17","12","1","3","2","1","0","0","5","1","0","2","18","0","Olympiacos","25","25","3","2","3","13","4","3","1","0","11","8","1","1","5","3","0","1","6","1","0","5","16","0"
"3","2","Ethnikos Alexandroupolis","12","13","1","0","1","21","6","5","2","3","15","3","2","4","3","3","0","0","15","1","0","11","17","1","Olympiacos","25","24","3","1","3","12","2","1","0","1","11","8","0","0","7","6","1","0","3","2","0","1","17","1"
"3","3","Ethnikos Alexandroupolis","15","15","0","1","0","20","3","4","2","6","12","5","2","0","6","2","0","1","11","2","0","8","18","0","Olympiacos","25","25","6","2","5","15","7","0","1","0","14","10","2","0","11","6","0","1","7","2","0","1","21","0"
"3","1","Kyzikos Peramou","25","24","1","1","6","17","3","6","0","0","16","9","0","1","12","6","1","0","11","2","0","2","16","1","Iraklis Petosfairishs","18","19","0","0","2","18","10","3","1","1","16","6","1","1","12","3","1","3","12","1","0","6","15","0"
"3","2","Kyzikos Peramou","18","19","0","1","3","21","5","6","2","0","19","8","5","1","9","5","1","0","8","1","0","4","14","0","Iraklis Petosfairishs","25","24","0","2","3","16","6","7","1","0","15","11","1","0","8","4","0","1","17","6","0","5","15","0"
"3","3","Kyzikos Peramou","22","22","0","2","2","22","1","9","2","1","19","12","0","1","11","4","0","1","7","0","0","5","16","0","Iraklis Petosfairishs","25","25","1","2","3","20","10","5","2","0","16","11","0","1","14","9","0","0","9","0","0","5","16","2"
"3","4","Kyzikos Peramou","19","20","0","0","7","23","4","4","2","0","21","9","2","3","10","2","1","3","8","3","0","3","12","0","Iraklis Petosfairishs","25","24","0","2","1","13","6","2","0","0","12","5","1","1","10","4","2","2","14","3","0","4","9","1"
"3","1","Paok","25","25","1","2","6","16","9","2","0","2","14","8","1","2","15","6","1","0","9","2","0","4","27","0","Iraklis Chalkidas","22","22","2","0","6","19","3","5","2","1","13","7","0","1","9","3","2","0","12","2","0","5","25","1"
"3","2","Paok","25","24","1","0","2","11","3","2","0","0","10","5","0","1","12","5","2","0","11","2","0","5","27","1","Iraklis Chalkidas","15","16","0","0","5","22","6","11","0","1","19","5","1","3","11","4","1","1","11","2","0","4","32","3"
"3","3","Paok","28","28","0","0","5","25","9","6","0","0","24","16","4","1","11","7","0","2","14","1","0","7","37","0","Iraklis Chalkidas","26","26","0","0","1","23","11","7","0","0","22","10","1","2","8","4","0","1","14","4","0","6","32","0"
"3","1","Panachaiki","22","22","2","1","5","21","5","2","1","3","18","10","2","2","9","3","1","1","11","1","0","5","14","1","Kifisia","25","25","3","1","4","17","7","4","1","2","14","6","1","0","11","4","0","1","13","4","0","4","14","1"
"3","2","Panachaiki","28","28","1","2","5","20","5","9","0","1","19","10","1","2","12","7","0","2","8","1","0","4","19","0","Kifisia","26","26","1","0","6","23","2","9","2","1","20","10","0","3","9","5","1","0","9","1","0","4","17","0"
"3","3","Panachaiki","25","24","2","1","3","15","4","5","0","0","15","11","1","1","7","3","0","0","9","5","0","2","13","1","Kifisia","17","18","0","0","3","21","5","7","1","2","18","10","5","0","4","1","0","0","6","1","1","3","16","0"
"3","4","Panachaiki","25","25","1","4","5","16","4","4","2","1","14","6","1","0","20","9","1","2","17","3","0","5","11","1","Kifisia","21","21","1","2","5","20","4","5","4","1","15","5","1","0","12","5","2","0","14","2","0","4","11","1"
"3","1","Foinikas Syrou","25","24","2","2","5","11","2","3","2","0","9","6","1","1","9","3","0","2","5","3","0","2","19","1","Orestiada","18","19","0","2","8","19","4","4","2","2","15","6","2","3","5","2","1","0","7","1","0","3","11","0"
"3","2","Foinikas Syrou","25","25","1","2","4","13","6","2","1","0","12","8","0","0","9","5","1","1","17","3","0","7","24","0","Orestiada","17","17","0","1","4","21","4","3","2","1","17","6","1","3","12","4","2","0","8","1","0","4","22","1"
"3","3","Foinikas Syrou","25","24","3","1","1","6","1","1","0","0","6","4","0","1","5","3","0","0","9","6","0","3","9","0","Orestiada","7","8","0","0","2","23","4","4","1","3","18","4","6","5","2","1","0","1","3","0","0","2","15","1"
"3","1","Pamvochaikos","18","18","0","1","3","22","6","3","1","3","16","6","1","0","8","5","0","1","10","1","1","3","17","3","Panathinaikos","25","25","3","1","3","15","2","1","1","0","14","8","0","1","10","5","1","1","11","1","1","5","11","0"
"3","2","Pamvochaikos","28","28","3","1","3","22","8","5","2","1","19","8","1","4","5","3","0","0","12","3","0","6","16","1","Panathinaikos","26","26","1","2","4","25","4","5","1","3","21","12","1","3","11","4","2","3","13","1","1","7","21","1"
"3","3","Pamvochaikos","25","24","2","2","3","15","2","2","2","0","11","2","1","2","12","11","0","0","15","4","0","6","14","1","Panathinaikos","19","20","0","2","5","21","3","4","2","2","17","6","3","1","10","6","1","0","12","1","0","7","12","0"
"3","4","Pamvochaikos","20","21","1","0","7","20","11","3","0","1","19","10","1","2","4","2","1","0","9","2","0","3","16","0","Panathinaikos","25","24","1","0","4","14","6","1","0","1","13","7","2","1","7","6","0","0","11","2","0","5","13","0"
"3","5","Pamvochaikos","15","14","0","0","1","9","2","2","1","0","8","4","0","1","5","1","1","1","5","2","0","1","8","0","Panathinaikos","10","11","0","1","2","13","3","5","0","0","13","5","2","4","2","0","0","1","6","1","0","2","13","1"
"4","1","Iraklis Petosfairishs","25","25","3","1","5","17","5","2","0","1","16","9","0","2","7","1","1","1","8","1","1","4","13","0","Panachaiki","23","23","1","0","6","20","6","5","1","3","15","7","1","3","9","5","0","2","9","1","0","2","13","0"
"4","2","Iraklis Petosfairishs","25","24","2","1","1","12","5","1","1","2","9","5","0","0","8","4","2","0","10","5","0","3","6","0","Panachaiki","16","17","2","1","5","23","4","7","1","2","20","10","5","1","6","1","0","3","7","2","0","2","15","0"
"4","3","Iraklis Petosfairishs","11","12","0","0","1","22","5","2","3","0","19","8","4","1","1","0","0","1","7","1","0","4","11","2","Panachaiki","25","24","0","3","2","11","3","3","0","0","11","11","0","0","8","5","1","0","10","4","0","1","7","0"
"4","4","Iraklis Petosfairishs","25","23","4","3","1","15","6","2","0","0","15","10","3","2","3","0","0","0","7","2","0","4","13","0","Panachaiki","16","17","0","0","2","22","7","4","3","4","15","7","1","3","3","1","1","1","6","3","0","3","15","3"
"4","1","Kifisia","27","26","2","2","3","21","4","5","0","4","16","10","0","1","9","5","1","0","17","2","2","8","17","0","Pamvochaikos","25","26","4","0","5","23","9","4","2","2","19","11","0","1","8","5","2","0","13","1","0","5","19","1"
"4","2","Kifisia","25","25","1","0","4","13","1","4","0","0","13","7","0","0","11","5","0","0","13","2","0","5","9","0","Pamvochaikos","20","19","0","0","6","21","6","7","0","1","20","10","1","3","10","5","1","1","6","0","0","2","15","0"
"4","3","Kifisia","25","24","4","2","3","18","5","3","2","1","14","7","0","0","13","7","2","1","11","1","1","5","8","0","Pamvochaikos","22","23","1","2","5","21","7","1","2","4","15","11","1","0","9","4","0","1","14","2","1","6","16","0"
"4","1","Orestiada","21","21","1","0","4","22","7","4","2","2","17","6","2","1","10","3","0","0","14","2","0","9","29","0","Iraklis Chalkidas","25","25","2","2","3","17","4","3","0","1","16","10","1","2","16","6","1","3","13","2","0","4","28","1"
"4","2","Orestiada","14","15","1","0","4","23","3","7","2","0","19","6","3","5","6","4","1","0","8","1","0","2","23","1","Iraklis Chalkidas","25","24","0","2","1","11","3","6","0","1","10","6","0","0","11","5","1","1","9","4","0","3","18","0"
"4","3","Orestiada","21","21","1","1","4","21","5","5","0","1","19","8","2","3","10","4","2","1","13","3","0","7","27","1","Iraklis Chalkidas","25","25","1","0","4","17","5","5","1","1","15","7","1","1","7","4","2","0","10","4","0","3","23","0"
"4","1","Olympiacos","19","20","2","2","3","20","5","3","1","1","16","9","1","1","7","1","2","0","12","2","0","7","24","1","Paok","25","24","1","1","4","17","6","3","2","2","13","7","2","0","13","9","0","0","10","3","0","2","20","1"
"4","2","Olympiacos","32","31","1","2","6","24","4","6","0","1","22","11","2","0","18","6","4","1","14","2","0","9","37","1","Paok","30","31","1","0","7","25","9","3","2","1","21","9","1","2","10","6","1","1","20","6","0","6","28","2"
"4","3","Olympiacos","25","25","0","0","2","16","7","3","0","2","13","9","1","0","8","3","1","1","14","4","0","6","22","0","Paok","20","20","2","0","4","23","8","4","0","0","22","10","4","4","7","3","0","1","12","2","0","4","25","0"
"4","4","Olympiacos","25","24","1","1","4","15","5","3","1","1","13","8","2","1","12","6","4","0","12","3","0","3","23","0","Paok","19","20","1","1","5","20","4","6","1","1","17","5","3","1","4","2","0","0","10","6","0","1","17","1"
"4","1","Panathinaikos","17","18","1","0","6","19","4","6","2","2","15","6","1","1","10","3","0","3","6","0","0","3","22","0","Ethnikos Alexandroupolis","25","24","2","2","5","12","3","1","0","1","11","7","0","0","12","5","0","2","13","1","0","6","21","0"
"4","2","Panathinaikos","25","24","0","1","3","14","6","1","1","1","12","6","0","2","16","9","1","0","9","2","0","4","26","0","Ethnikos Alexandroupolis","15","16","1","1","2","21","2","5","1","0","17","5","2","2","8","3","0","3","8","1","0","4","28","1"
"4","3","Panathinaikos","25","25","1","1","2","11","2","3","0","1","10","7","0","1","16","6","2","1","8","2","0","2","21","0","Ethnikos Alexandroupolis","14","14","1","0","3","23","3","6","2","1","19","4","2","3","9","3","0","3","10","2","0","6","30","0"
"4","4","Panathinaikos","25","24","1","0","3","11","5","1","0","0","11","9","1","1","10","4","0","0","12","1","0","4","19","0","Ethnikos Alexandroupolis","15","16","0","0","5","21","2","7","1","1","18","8","0","3","8","2","1","1","7","1","0","4","28","1"
"4","1","Foinikas Syrou","25","25","4","1","3","15","2","5","3","2","9","6","1","1","10","7","0","2","6","0","0","2","9","1","Kyzikos Peramou","19","19","2","3","4","22","9","2","1","4","16","6","0","3","5","3","0","1","3","1","0","1","10","0"
"4","2","Foinikas Syrou","25","25","0","2","4","21","8","5","0","1","19","9","3","3","16","8","1","3","17","2","0","7","14","0","Kyzikos Peramou","27","27","1","0","6","21","2","4","2","0","18","7","0","0","13","5","2","0","12","4","0","5","11","0"
"4","3","Foinikas Syrou","25","25","1","2","5","15","4","3","1","2","12","8","1","0","5","4","0","1","6","3","0","1","8","0","Kyzikos Peramou","20","20","2","1","5","20","5","6","2","1","17","8","3","3","5","3","0","1","6","1","0","5","9","0"
"4","4","Foinikas Syrou","25","24","3","1","4","15","2","4","0","0","14","8","1","2","7","4","1","0","9","5","0","2","8","1","Kyzikos Peramou","15","16","0","0","1","20","5","0","1","3","16","3","5","4","4","3","0","0","5","2","0","3","7","0"
"5","1","Ethnikos Alexandroupolis","26","25","2","1","2","22","8","3","1","1","19","8","2","4","17","7","3","0","8","3","0","1","18","1","Kifisia","24","25","1","1","3","23","5","10","1","2","20","9","2","1","10","3","1","1","18","5","0","6","19","0"
"5","2","Ethnikos Alexandroupolis","25","25","2","0","7","17","2","5","0","1","16","8","1","2","4","3","0","0","12","5","0","6","12","0","Kifisia","21","21","1","0","4","18","7","7","0","2","16","9","5","1","2","1","0","0","5","1","2","2","16","0"
"5","3","Ethnikos Alexandroupolis","22","22","1","1","4","23","7","5","3","0","20","13","0","1","3","2","1","0","12","1","1","6","16","0","Kifisia","25","25","0","3","2","18","7","6","1","1","16","13","0","1","12","4","1","2","5","1","0","1","15","0"
"5","4","Ethnikos Alexandroupolis","21","22","0","1","2","21","4","6","1","2","18","8","2","2","8","6","0","0","12","3","0","8","14","0","Kifisia","25","24","2","1","3","20","13","1","1","0","19","11","3","1","8","5","0","0","12","2","1","5","16","0"
"5","5","Ethnikos Alexandroupolis","17","16","0","1","0","14","4","2","1","2","12","7","0","2","8","4","2","1","7","2","0","3","11","0","Kifisia","15","16","2","0","2","16","5","5","1","0","15","7","1","1","2","1","1","0","12","2","1","6","15","0"
"5","1","Kyzikos Peramou","25","24","1","1","4","17","3","3","2","0","12","9","1","1","6","3","1","0","10","4","0","3","19","0","Orestiada","21","22","0","2","5","20","8","2","1","1","18","9","3","1","10","5","1","1","6","2","0","3","25","1"
"5","2","Kyzikos Peramou","25","24","4","1","0","14","5","2","0","2","12","8","0","3","10","7","0","1","9","2","0","4","22","1","Orestiada","16","16","2","0","2","24","5","5","1","4","18","8","1","1","2","1","1","0","7","0","0","5","18","0"
"5","3","Kyzikos Peramou","25","19","1","0","1","9","3","1","0","2","7","3","0","0","9","4","0","2","5","0","0","2","18","0","Orestiada","15","16","2","0","7","18","8","3","0","1","17","8","0","2","6","1","0","2","8","0","0","4","24","1"
"5","1","Paok","26","26","0","0","4","19","5","4","2","0","17","8","2","1","10","6","1","1","9","3","0","3","14","1","Panathinaikos","24","24","0","2","5","22","9","6","0","0","22","11","3","3","6","3","0","0","11","3","1","3","22","0"
"5","2","Paok","20","20","1","0","2","19","7","3","1","2","16","8","3","0","17","3","5","3","17","2","0","4","14","0","Panathinaikos","25","25","2","1","6","18","9","1","0","1","17","6","1","0","11","4","1","0","21","8","0","5","16","0"
"5","3","Paok","19","20","1","1","2","23","5","6","1","3","18","8","2","2","14","5","1","0","17","2","0","4","16","0","Panathinaikos","25","24","3","1","1","18","10","4","1","1","16","7","2","1","19","8","0","1","12","3","0","6","17","0"
"5","4","Paok","18","18","0","0","3","20","4","3","0","2","18","8","1","2","7","3","0","0","14","1","0","7","12","0","Panathinaikos","25","25","2","0","5","15","3","5","0","0","15","10","1","0","13","7","0","1","8","1","0","3","17","0"
"5","1","Panachaiki","25","24","2","0","4","16","2","3","0","2","14","6","1","0","14","7","1","2","12","3","0","3","11","0","Foinikas Syrou","19","20","2","0","4","20","5","6","0","2","17","7","1","1","12","2","2","1","10","2","0","3","15","1"
"5","2","Panachaiki","14","15","0","0","3","21","4","3","2","2","16","4","6","2","6","3","1","0","8","2","0","3","14","1","Foinikas Syrou","25","24","2","2","3","12","5","3","0","0","11","6","0","1","7","3","2","1","8","6","0","1","13","0"
"5","3","Panachaiki","25","24","3","0","2","23","8","3","1","2","19","9","1","1","16","8","3","1","17","1","3","6","19","1","Foinikas Syrou","23","24","2","1","1","22","7","1","0","3","19","8","1","2","9","4","0","0","17","3","1","5","16","0"
"5","4","Panachaiki","21","22","0","0","1","22","3","6","1","1","19","7","3","0","11","6","1","2","11","0","1","3","19","1","Foinikas Syrou","25","24","1","1","2","21","7","5","0","0","20","8","0","3","14","8","0","1","16","4","2","4","19","1"
"5","5","Panachaiki","22","22","3","0","5","21","4","5","1","3","17","8","3","2","12","3","2","0","13","1","0","5","13","0","Foinikas Syrou","24","24","3","1","3","17","4","3","0","3","14","4","1","4","10","5","0","0","12","5","0","1","13","0"
"5","1","Pamvochaikos","25","24","4","0","5","12","3","1","1","0","10","7","1","0","7","2","1","0","8","5","0","3","12","1","Iraklis Petosfairishs","16","17","0","1","5","19","7","1","0","4","13","7","3","0","5","1","2","1","10","2","0","5","9","1"
"5","2","Pamvochaikos","23","24","3","3","4","24","7","4","1","0","20","7","4","1","10","7","1","0","10","1","0","7","20","2","Iraklis Petosfairishs","25","24","0","1","0","20","6","1","3","3","13","8","1","1","13","5","0","3","13","5","0","4","14","1"
"5","3","Pamvochaikos","25","24","1","0","6","15","6","1","1","1","12","10","0","0","16","7","1","0","7","1","0","1","16","0","Iraklis Petosfairishs","16","17","1","1","2","18","7","3","0","1","17","3","1","4","11","5","0","0","15","1","0","7","16","0"
"5","4","Pamvochaikos","18","19","2","0","2","24","12","3","0","2","21","12","1","2","7","2","1","1","18","2","2","5","21","2","Iraklis Petosfairishs","25","24","2","0","0","17","3","5","0","2","14","8","0","0","13","6","2","0","13","2","1","6","12","0"
